top - 15:02:04 up  3:06,  1 user,  load average: 0.15, 0.36, 0.58
Tasks: 254 total,   1 running, 252 sleeping,   1 stopped,   0 zombie
%Cpu(s):  4.3 us,  2.9 sy,  0.0 ni, 92.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7882.5 total,    215.0 free,   5098.6 used,   2568.9 buff/cache
MiB Swap:    976.0 total,    963.0 free,     13.0 used.   1976.8 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   7327 dhruv     20   0 2446132 113020  81440 S   0.0   1.4   0:03.96 Privileged Cont
   7358 dhruv     20   0  794060  26404  15008 S   0.0   0.3   0:00.24 snap
   7948 dhruv     20   0 2434464  86096  65840 S   0.0   1.1   0:00.94 WebExtensions
   8109 dhruv     20   0 1124.5g 199756  98320 S   0.0   2.5   0:15.07 brave
   8126 dhruv     20   0 2693420 175412 106184 S   0.0   2.2   2:42.99 Isolated Web Co
   8128 dhruv     20   0 2400900  61896  49956 S   0.0   0.8   0:00.26 Web Content
   8143 dhruv     20   0 2400904  62128  50188 S   0.0   0.8   0:00.27 Web Content
   8186 dhruv     20   0 1124.5g 166940  96916 S   0.0   2.1   0:09.97 brave
   8202 dhruv     20   0 1124.5g 192196  90716 S   0.0   2.4   0:07.20 brave
   8215 dhruv     20   0 1124.5g 191140 100400 S   0.0   2.4   0:16.38 brave
   8263 dhruv     20   0 2400896  62636  50576 S   0.0   0.8   0:00.30 Web Content
   8352 dhruv     20   0   20056   5760   3944 S   0.0   0.1   0:00.04 bash
   8906 dhruv     20   0  335252  40724  30636 S   0.0   0.5   0:00.17 RDD Process
   8911 dhruv     20   0  215408  34180  25984 S   0.0   0.4   0:00.14 Utility Process
   9035 dhruv     20   0   19696   4420   3860 T   0.0   0.1   0:00.01 vi
   9187 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:2-events
   9188 root      20   0       0      0      0 I   0.0   0.0   0:00.64 kworker/u16:2-kcryptd/253:0
   9230 dhruv     20   0 1124.5g 132772  92356 S   0.0   1.6   0:06.21 brave
   9246 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/2:1-events
   9254 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker/0:2-events
   9273 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/3:1-events
   9275 dhruv     20   0 1124.5g 190608  97836 S   0.0   2.4   0:14.04 brave
   9312 dhruv     20   0 1124.5g 120732  88500 S   0.0   1.5   0:02.75 brave
   9341 dhruv     20   0 1124.5g  68424  51056 S   0.0   0.8   0:00.08 brave
   9460 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/3:2-events
   9541 dhruv     20   0   18624   3588   3324 S   0.0   0.0   0:00.00 check_system.sh

top - 15:02:07 up  3:06,  1 user,  load average: 0.15, 0.36, 0.58
Tasks: 254 total,   2 running, 251 sleeping,   1 stopped,   0 zombie
%Cpu(s):  2.0 us,  1.0 sy,  0.0 ni, 96.9 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7882.5 total,    211.5 free,   5102.0 used,   2569.0 buff/cache
MiB Swap:    976.0 total,    963.0 free,     13.0 used.   1973.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1472 dhruv     20   0 4606504 266896 113864 S   2.0   3.3   4:18.44 gnome-shell
   7059 dhruv     20   0 1124.5g 230624 100796 S   1.7   2.9   0:32.26 brave
   7129 dhruv     20   0 3362636 306680 160712 S   1.7   3.8   1:45.18 firefox
     42 root      20   0       0      0      0 S   1.3   0.0   0:02.96 kcompactd0
   8215 dhruv     20   0 1128.5g 192872 100400 S   1.3   2.4   0:16.42 brave
   6825 dhruv     20   0   32.5g 339488 165356 S   1.0   4.2   0:58.93 brave
   6861 dhruv     20   0   32.4g 115204  93144 S   0.7   1.4   0:17.96 brave
   7058 dhruv     20   0 1124.6g 211556 105828 S   0.7   2.6   0:32.92 brave
     14 root      20   0       0      0      0 I   0.3   0.0   0:10.05 rcu_sched
    912 systemd+  20   0   25744  13976   9568 S   0.3   0.2   0:02.55 systemd-resolve
   1138 jenkins   20   0 5797212   2.3g  31356 S   0.3  30.0   3:06.97 java
   5018 dhruv     20   0  563672  54312  41320 S   0.3   0.7   0:42.90 gnome-terminal-
   5514 root      20   0       0      0      0 I   0.3   0.0   0:03.44 kworker/2:3-mm_percpu_wq
   5536 root      20   0       0      0      0 I   0.3   0.0   0:03.04 kworker/u16:37-kcryptd/253:0
   6407 dhruv     20   0 2940132  67528  51012 S   0.3   0.8   0:02.16 gjs
   8126 dhruv     20   0 2693420 175412 106184 S   0.3   2.2   2:43.00 Isolated Web Co
   9542 dhruv     20   0   21836   4060   3244 R   0.3   0.1   0:00.03 top
      1 root      20   0  166944  11992   8092 S   0.0   0.1   0:02.58 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      6 root      20   0       0      0      0 I   0.0   0.0   0:03.32 kworker/0:0-kacpi_notify
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_rude_
